Date,Race,Location,Latitude,Longitude,Type,Distance,Time,Notes,Link,Post,Picture
17.11.2013,Berliner Marathon-Staffel,"Berlin, Tempelhof Airport (Germany)",52.47110137,13.40488222,Relay race,12,0:57:26,Team run,http://www.airfield-run.de/,,
30.03.2014,Berlin Halfmarathon,"Berlin, Mitte (Germany)",52.52167473,13.41729075,City run,21.1,1:50:21,1st half,http://www.berliner-halbmarathon.de/en/,,
12.04.2014,Urbanian Run,"Berlin, Olympia Stadium (Germany)",52.51471667,13.23903736,Obstacle race,10,0:58:00,Team run with Karl and Daniel,http://www.urbanianrun.com/,,
26.06.2014,Berlin City-Nacht,"Berlin, Kudamm (Germany)",52.50485712,13.33520219,City night run,10,1:10:43,Pacer for Andy,http://www.berliner-citynacht.de/en/,,
28.09.2014,Berlin Marathon,"Berlin, Mitte (Germany)",52.51625499,13.37757535,Street run,42.2,4:17:35,"1st marathon, PR",https://www.bmw-berlin-marathon.com/,,
07.06.2015,Potsdam Schloesserlauf,"Potsdam, Brandenburg (Germany)",52.39960417,13.04791583,City/trail run,21.1,1:44:58,PR,http://www.potsdam-marathon.de/,,
16.09.2014,Schorfheide-Lauf,"Altkuenkendorf, Brandenburg (Germany)",53.0079878,13.87610118,Trail run,42.2,5:01:15,,http://www.schorfheide-lauf.de/,http://cheeseman-nath.blogspot.de/2017/09/schorfheide-lauf-marathon-42km.html,
25.11.2017,Gruenewald Half-marathon,"Berlin, Gruenewald (Germany)",52.47838328,13.1972034,City run,21.1,1:58:48,Rainy,http://www.schorfheide-lauf.de/,https://cheeseman-nath.blogspot.de/2017/11/grunewald-half-marathon-2017.html,
17.03.2018,Eco-Trail de Paris 2018,Paris (France),48.85908301,2.293279668,Ultra-trail,45,6:16:48,Covered for Trek-and-Run,https://paris.ecotrail.com/,https://cheeseman-nath.blogspot.de/2018/03/eco-trail-de-paris-2018.html,
06.05.2018,Wings For Life World Run,"Berlin, Hellersdorf (Germany)",52.53622042,13.60716942,Open Run,17.5,1:37:00,Virtual app run,https://www.wingsforlifeworldrun.com/en,http://cheeseman-nath.blogspot.com/2018/05/wings-for-life-app-run-2018.html,
13.10.2018,"Harz-Gebirgslauf, Broken Marathon","Harz, Wernigerode (Germany)",51.79931642,10.61607677,Mountain trail,42.2,5:59:37,Covered for Trek-and-Run,http://www.harz-gebirgslauf.de/,http://cheeseman-nath.blogspot.com/2018/10/harz-gebirgslauf-broken-marathon-2018.html,http://2.bp.blogspot.com/-Sp9eE88PU-s/W8ZZt29izQI/AAAAAAAAFFo/4FoPAoCVB70mimvHVchMYAnRv4chX3e4QCK4BGAYYCw/s215/id.jpg
03.11.2018,Krummenseelauf,"Koenigs Wusterhausen, Brandenburg (Germany)",52.26493783,13.60608827,Trail run,15,1:17:20,Covered for Trek-and-Run,https://www.laufen-in-kw.de/,https://cheeseman-nath.blogspot.com/2018/11/krummenseelauf-2018.html,
07.04.2019,Vienna City Marathon,Vienna (Austria),48.21048829,16.36053638,City run,42.2,4:47:37,Covered for Trek-and-Run,https://www.vienna-marathon.com/,http://cheeseman-nath.blogspot.com/p/events.html,
19.10.2019,Ruegenbruecken Marathon,Ruegen Island (Germany),54.31498039,13.12452268,Trail Run,42.2,4:42:12,Covered for Trek-and-Run,https://www.ruegenmarathon.de/,,
